dist_group,main_mode,share
0 - 1000,bike,0.20692648628364704
0 - 1000,car,0.07755898230082074
0 - 1000,pt,0.014437236952704793
0 - 1000,ride,0.03186019636186201
0 - 1000,walk,0.6692170981009654
1000 - 2000,bike,0.3445603808799761
1000 - 2000,car,0.2516717840786461
1000 - 2000,pt,0.08027070374401986
1000 - 2000,ride,0.09174746389484124
1000 - 2000,walk,0.2317496674025167
2000 - 5000,bike,0.2196768947815264
2000 - 5000,car,0.344929387075912
2000 - 5000,pt,0.20676141933190134
2000 - 5000,ride,0.13032825308493293
2000 - 5000,walk,0.09830404572572737
5000 - 10000,bike,0.16101334609583173
5000 - 10000,car,0.3556736566005334
5000 - 10000,pt,0.3228972507718542
5000 - 10000,ride,0.13051205014375145
5000 - 10000,walk,0.02990369638802902
10000 - 20000,bike,0.0666663096641481
10000 - 20000,car,0.5397331664978311
10000 - 20000,pt,0.26699543477733884
10000 - 20000,ride,0.11954054075400748
10000 - 20000,walk,0.007064548306674469
20000+,bike,0.018201735409045173
20000+,car,0.5639903398878631
20000+,pt,0.3067040793269608
20000+,ride,0.11110384537613091
20000+,walk,0.0
