age,economic_status,dist_group,main_mode,share
,,0 - 1000,bike,0.05264968582503856
,,0 - 1000,car,0.01973384908034678
,,0 - 1000,pt,0.0036733624747274066
,,0 - 1000,ride,0.008106402224781968
,,0 - 1000,walk,0.17027336904306345
,,1000 - 2000,bike,0.05342126420610536
,,1000 - 2000,car,0.03901964827224446
,,1000 - 2000,pt,0.012445314988820583
,,1000 - 2000,ride,0.014224692625568375
,,1000 - 2000,walk,0.03593088729577256
,,2000 - 5000,bike,0.0499964934773445
,,2000 - 5000,car,0.07850283876343057
,,2000 - 5000,pt,0.04705704695650682
,,2000 - 5000,ride,0.02966154297544499
,,2000 - 5000,walk,0.02237312024011829
,,5000 - 10000,bike,0.028004608344387442
,,5000 - 10000,car,0.06186134064679217
,,5000 - 10000,pt,0.056160630547751375
,,5000 - 10000,ride,0.022699601847436125
,,5000 - 10000,walk,0.005201067648751295
,,10000 - 20000,bike,0.00783972766448475
,,10000 - 20000,car,0.0634707554407882
,,10000 - 20000,pt,0.031397740580812517
,,10000 - 20000,ride,0.014057554544385543
,,10000 - 20000,walk,0.0008307664707397068
,,20000+,bike,0.0012997256380331992
,,20000+,car,0.04027268213068521
,,20000+,pt,0.021900722443889787
,,20000+,ride,0.007933557601747868
,,20000+,walk,0.0
0 - 12,,0 - 1000,bike,0.06765934582085875
0 - 12,,0 - 1000,car,0.0
0 - 12,,0 - 1000,pt,0.003941025284649936
0 - 12,,0 - 1000,ride,0.024957508834822742
0 - 12,,0 - 1000,walk,0.24395045638587956
0 - 12,,1000 - 2000,bike,0.07786821317105823
0 - 12,,1000 - 2000,car,0.0
0 - 12,,1000 - 2000,pt,0.01725041060401068
0 - 12,,1000 - 2000,ride,0.0378810791153522
0 - 12,,1000 - 2000,walk,0.03233547750638179
0 - 12,,2000 - 5000,bike,0.06760251680101478
0 - 12,,2000 - 5000,car,0.0
0 - 12,,2000 - 5000,pt,0.09353879118509675
0 - 12,,2000 - 5000,ride,0.11057795204865302
0 - 12,,2000 - 5000,walk,0.018546412222479963
0 - 12,,5000 - 10000,bike,0.01410955841581769
0 - 12,,5000 - 10000,car,0.0
0 - 12,,5000 - 10000,pt,0.06999096191267185
0 - 12,,5000 - 10000,ride,0.04002597380848659
0 - 12,,5000 - 10000,walk,0.006247759760896727
0 - 12,,10000 - 20000,bike,0.0028822666203308657
0 - 12,,10000 - 20000,car,0.0015933518556087989
0 - 12,,10000 - 20000,pt,0.018234306448040766
0 - 12,,10000 - 20000,ride,0.020233606908874113
0 - 12,,10000 - 20000,walk,0.000323388748058108
0 - 12,,20000+,bike,0.0
0 - 12,,20000+,car,0.0010927357828738947
0 - 12,,20000+,pt,0.009542715481621862
0 - 12,,20000+,ride,0.019614185276460343
0 - 12,,20000+,walk,0.0
12 - 18,,0 - 1000,bike,
12 - 18,,0 - 1000,car,
12 - 18,,0 - 1000,pt,
