age,economic_status,main_mode,share
,,bike,0.19321150515539381
,,car,0.3028611143342874
,,pt,0.1726348179925085
,,ride,0.09668335181936487
,,walk,0.23460921069844531
0 - 12,,bike,0.23012190082908035
0 - 12,,car,0.0026860876384826936
0 - 12,,pt,0.2124982109160918
0 - 12,,ride,0.253290305992649
0 - 12,,walk,0.30140349462369614
12 - 18,,bike,
12 - 18,,car,
12 - 18,,pt,
12 - 18,,ride,
12 - 18,,walk,
18 - 25,,bike,0.19128432430968367
18 - 25,,car,0.2530616586527746
18 - 25,,pt,0.28274221504284935
18 - 25,,ride,0.07425770182183734
18 - 25,,walk,0.19865410017285515
25 - 35,,bike,0.1588674955213878
25 - 35,,car,0.37357002273957235
25 - 35,,pt,0.20186193483115877
25 - 35,,ride,0.023696679975106015
25 - 35,,walk,0.2420038669327751
35 - 66,,bike,0.19279737584994963
35 - 66,,car,0.42620467999694905
35 - 66,,pt,0.12684795281287903
35 - 66,,ride,0.05639609618146624
35 - 66,,walk,0.19775389515875602
66+,,bike,0.17701681003455463
66+,,car,0.3229212808309728
66+,,pt,0.1278703344277035
66+,,ride,0.10803860687466789
66+,,walk,0.26415296783210107
,very_low,bike,0.2878460043567273
,very_low,car,0.11939610230524507
,very_low,pt,0.18360651851637508
,very_low,ride,0.023587080217386838
,very_low,walk,0.38556429460426567
,low,bike,0.1533270716657591
,low,car,0.262476362168784
,low,pt,0.2635484695865403
,low,ride,0.0957166468841631
,low,walk,0.22493144969475354
,medium,bike,0.19828901886880818
,medium,car,0.2929982488440946
,medium,pt,0.18037762246279174
,medium,ride,0.09903341431377156
,medium,walk,0.22930169551053406
,high,bike,0.1806725403247608
,high,car,0.3509012473754884
,high,pt,0.14178335930247513
,high,ride,0.09703705288992738
,high,walk,0.2296058001073483
,very_high,bike,0.23352078966265363
,very_high,car,0.3150131934918673
,very_high,pt,0.11275143539177863
,very_high,ride,0.1279575797547416
,very_high,walk,0.2107570016989587
