purpose,main_mode,share
work,bike,0.21931933035422446
work,car,0.43112872503240457
work,pt,0.281573952787496
work,ride,0.01201651684550237
work,walk,0.055961474980372544
work_business,bike,0.12427172861765168
work_business,car,0.5464913687973219
work_business,pt,0.11480890615812334
work_business,ride,0.018961335256550915
work_business,walk,0.19546666117035233
edu,bike,0.2500996029007749
edu,car,0.021821280989669397
edu,pt,0.37557040188307905
edu,ride,0.16741766799400684
edu,walk,0.18509104623246986
shopping,bike,0.15192472424203052
shopping,car,0.3216593202063146
shopping,pt,0.07189340655322933
shopping,ride,0.09479716147490107
shopping,walk,0.3597253875235246
personal_business,bike,0.1739965869310532
personal_business,car,0.3626089252454251
personal_business,pt,0.1302040379866013
personal_business,ride,0.09633708323645204
personal_business,walk,0.23685336660046832
transport,bike,0.0860023400288819
transport,car,0.4671829445475776
transport,pt,0.07750978494070941
transport,ride,0.08907163900049582
transport,walk,0.2802332914823354
leisure,bike,0.21828364478972873
leisure,car,0.1918375224921357
leisure,pt,0.12527861856992437
leisure,ride,0.12730935927862727
leisure,walk,0.3372908548695839
home,bike,0.20685903908842998
home,car,0.2911042994580709
home,pt,0.18241525828339927
home,ride,0.10716908931902994
home,walk,0.2124523138510699
other,bike,0.14545157037560785
other,car,0.25250311839504225
other,pt,0.14984083977725846
other,ride,0.09956377585431796
other,walk,0.35264069559777356
