dist_group,main_mode,share
0 - 1000,bike,0.05264968582503856
0 - 1000,car,0.01973384908034678
0 - 1000,pt,0.0036733624747274066
0 - 1000,ride,0.008106402224781968
0 - 1000,walk,0.17027336904306345
1000 - 2000,bike,0.05342126420610536
1000 - 2000,car,0.03901964827224446
1000 - 2000,pt,0.012445314988820583
1000 - 2000,ride,0.014224692625568375
1000 - 2000,walk,0.03593088729577256
2000 - 5000,bike,0.0499964934773445
2000 - 5000,car,0.07850283876343057
2000 - 5000,pt,0.04705704695650682
2000 - 5000,ride,0.02966154297544499
2000 - 5000,walk,0.02237312024011829
5000 - 10000,bike,0.028004608344387442
5000 - 10000,car,0.06186134064679217
5000 - 10000,pt,0.056160630547751375
5000 - 10000,ride,0.022699601847436125
5000 - 10000,walk,0.005201067648751295
10000 - 20000,bike,0.00783972766448475
10000 - 20000,car,0.0634707554407882
10000 - 20000,pt,0.031397740580812517
10000 - 20000,ride,0.014057554544385543
10000 - 20000,walk,0.0008307664707397068
20000+,bike,0.0012997256380331992
20000+,car,0.04027268213068521
20000+,pt,0.021900722443889787
20000+,ride,0.007933557601747868
20000+,walk,0.0
